customer_id,plan_tier,contract_type,payment_method,country,industry,monthly_active_users_pct,feature_adoption_count,support_tickets_90d,avg_csat_score,failed_payments_90d,last_login_days_ago,churn_probability,risk_level,mrr,expected_mrr_at_risk,risk_reasons,recommended_action
C00001,Pro,Month-to-month,Manual Invoice,USA,Manufacturing,0.578,3,3,3.23,0,3,0.46354592885410467,Medium,79,36.62012837947427,High support activity + Month-to-month contract,Priority support review + Renewal / contract intervention
C00002,Enterprise,1-Year,PayPal,Australia,Marketing/Agency,0.456,2,0,4.39,0,4,0.22942261184941118,Low,199,45.655099758032826,Low feature adoption,Product training / onboarding
C00003,Enterprise,Month-to-month,Credit Card,USA,Healthcare,0.365,5,3,4.78,1,4,0.5567749926869033,Medium,199,110.79822354469377,Low engagement + Billing friction + High support activity + Month-to-month contract,Resolve billing issue + Increase product engagement + Priority support review + Renewal / contract intervention
C00005,Pro,1-Year,Credit Card,UK,Healthcare,0.508,2,1,4.62,0,9,0.24472177843033263,Low,79,19.333020495996276,Low feature adoption,Product training / onboarding
C00006,Pro,Month-to-month,Credit Card,USA,Healthcare,0.287,3,2,3.62,0,6,0.583312562695006,Medium,79,46.08169245290547,Low engagement + Month-to-month contract,Increase product engagement + Renewal / contract intervention
C00007,Basic,Month-to-month,ACH/Bank Transfer,Australia,SaaS/Tech,0.467,5,2,4.39,1,4,0.5611539887760361,Medium,29,16.273465674505047,Billing friction + Month-to-month contract,Resolve billing issue + Renewal / contract intervention
C00008,Enterprise,1-Year,ACH/Bank Transfer,India,Marketing/Agency,0.497,2,1,4.32,0,0,0.2662055983976183,Low,199,52.974914081126045,Low feature adoption,Product training / onboarding
C00013,Basic,Month-to-month,Credit Card,Canada,Manufacturing,0.624,3,2,3.21,2,9,0.8740085221532807,High,29,25.34624714244514,Billing friction + Month-to-month contract,Resolve billing issue + Renewal / contract intervention
C00014,Pro,Month-to-month,ACH/Bank Transfer,Canada,Nonprofit,0.844,2,2,4.08,0,8,0.39194375069504295,Medium,79,30.963556304908394,Month-to-month contract + Low feature adoption,Product training / onboarding + Renewal / contract intervention
C00015,Enterprise,1-Year,PayPal,Canada,Nonprofit,0.619,3,3,3.52,0,2,0.37523956465994834,Medium,199,74.67267336732972,High support activity,Priority support review
C00016,Pro,2-Year,ACH/Bank Transfer,USA,Education,0.954,1,1,5.0,0,5,0.09780292818665068,Low,79,7.726431326745404,Low feature adoption,Product training / onboarding
