customer_id,month,tenure_month,is_active,mrr
C00001,2024-07-01,1,1,79
C00001,2024-08-01,2,1,79
C00001,2024-09-01,3,1,79
C00001,2024-10-01,4,1,79
C00001,2024-11-01,5,1,79
C00001,2024-12-01,6,1,79
C00001,2025-01-01,7,1,79
C00001,2025-02-01,8,1,79
C00001,2025-03-01,9,1,79
C00001,2025-04-01,10,1,79
C00001,2025-05-01,11,1,79
C00001,2025-06-01,12,1,79
C00001,2025-07-01,13,1,79
C00001,2025-08-01,14,1,79
C00001,2025-09-01,15,1,79
C00001,2025-10-01,16,1,79
C00001,2025-11-01,17,1,79
C00001,2025-12-01,18,1,79
C00001,2026-01-01,19,1,79
C00001,2026-02-01,20,1,79
C00001,2026-03-01,21,1,79
C00001,2026-04-01,22,1,79
C00001,2026-05-01,23,1,79
C00001,2026-06-01,24,1,79
C00001,2026-07-01,25,1,79
C00001,2026-08-01,26,1,79
C00002,2024-12-01,1,1,199
C00002,2025-01-01,2,1,199
C00002,2025-02-01,3,1,199
C00002,2025-03-01,4,1,199
C00002,2025-04-01,5,1,199
C00002,2025-05-01,6,1,199
C00002,2025-06-01,7,1,199
C00002,2025-07-01,8,1,199
C00002,2025-08-01,9,1,199
C00002,2025-09-01,10,1,199
C00002,2025-10-01,11,1,199
C00002,2025-11-01,12,1,199
C00002,2025-12-01,13,1,199
C00002,2026-01-01,14,1,199
C00002,2026-02-01,15,1,199
C00002,2026-03-01,16,1,199
C00002,2026-04-01,17,1,199
C00002,2026-05-01,18,1,199
C00002,2026-06-01,19,1,199
C00002,2026-07-01,20,1,199
C00002,2026-08-01,21,1,199
C00003,2026-03-01,1,1,199
C00003,2026-04-01,2,1,199
C00003,2026-05-01,3,1,199
C00003,2026-06-01,4,1,199
C00003,2026-07-01,5,1,199
C00003,2026-08-01,6,1,199
C00004,2023-07-01,1,1,29
C00004,2023-08-01,2,1,29
C00004,2023-09-01,3,1,29
C00004,2023-10-01,4,1,29
C00004,2023-11-01,5,1,29
C00004,2023-12-01,6,1,29
C00004,2024-01-01,7,1,29
C00004,2024-02-01,8,1,29
C00004,2024-03-01,9,1,29
C00005,2025-11-01,1,1,79
C00005,2025-12-01,2,1,79
C00005,2026-01-01,3,1,79
C00005,2026-02-01,4,1,79
C00005,2026-03-01,5,1,79
C00005,2026-04-01,6,1,79
C00005,2026-05-01,7,1,79
C00005,2026-06-01,8,1,79
C00005,2026-07-01,9,1,79
C00005,2026-08-01,10,1,79
C00006,2024-12-01,1,1,79
C00006,2025-01-01,2,1,79
C00006,2025-02-01,3,1,79
C00006,2025-03-01,4,1,79
C00006,2025-04-01,5,1,79
C00006,2025-05-01,6,1,79
C00006,2025-06-01,7,1,79
C00006,2025-07-01,8,1,79
C00006,2025-08-01,9,1,79
C00006,2025-09-01,10,1,79
C00006,2025-10-01,11,1,79
C00006,2025-11-01,12,1,79
C00006,2025-12-01,13,1,79
C00006,2026-01-01,14,1,79
C00006,2026-02-01,15,1,79
C00006,2026-03-01,16,1,79
C00006,2026-04-01,17,1,79
C00006,2026-05-01,18,1,79
C00006,2026-06-01,19,1,79
C00006,2026-07-01,20,1,79
C00006,2026-08-01,21,1,79
C00007,2024-03-01,1,1,29
C00007,2024-04-01,2,1,29
C00007,2024-05-01,3,1,29
C00007,2024-06-01,4,1,29
C00007,2024-07-01,5,1,29
C00007,2024-08-01,6,1,29
C00007,2024-09-01,7,1,29
C00007,2024-10-01,8,1,29
C00007,2024-11-01,9,1,29
C00007,2024-12-01,10,1,29
C00007,2025-01-01,11,1,29
C00007,2025-02-01,12,1,29
C00007,2025-03-01,13,1,29
C00007,2025-04-01,14,1,29
C00007,2025-05-01,15,1,29
C00007,2025-06-01,16,1,29
C00007,2025-07-01,17,1,29
C00007,2025-08-01,18,1,29
C00007,2025-09-01,19,1,29
C00007,2025-10-01,20,1,29
C00007,2025-11-01,21,1,29
C00007,2025-12-01,22,1,29
C00007,2026-01-01,23,1,29
C00007,2026-02-01,24,1,29
C00007,2026-03-01,25,1,29
C00007,2026-04-01,26,1,29
C00007,2026-05-01,27,1,29
C00007,2026-06-01,28,1,29
C00007,2026-07-01,29,1,29
C00007,2026-08-01,30,1,29
C00008,2025-01-01,1,1,199
C00008,2025-02-01,2,1,199
C00008,2025-03-01,3,1,199
C00008,2025-04-01,4,1,199
C00008,2025-05-01,5,1,199
C00008,2025-06-01,6,1,199
C00008,2025-07-01,7,1,199
C00008,2025-08-01,8,1,199
C00008,2025-09-01,9,1,199
C00008,2025-10-01,10,1,199
C00008,2025-11-01,11,1,199
C00008,2025-12-01,12,1,199
C00008,2026-01-01,13,1,199
C00008,2026-02-01,14,1,199
C00008,2026-03-01,15,1,199
C00008,2026-04-01,16,1,199
C00008,2026-05-01,17,1,199
C00008,2026-06-01,18,1,199
C00008,2026-07-01,19,1,199
C00008,2026-08-01,20,1,199
C00009,2024-01-01,1,1,79
C00009,2024-02-01,2,1,79
C00009,2024-03-01,3,1,79
C00009,2024-04-01,4,1,79
C00009,2024-05-01,5,1,79
C00009,2024-06-01,6,1,79
C00009,2024-07-01,7,1,79
C00010,2024-03-01,1,1,29
C00010,2024-04-01,2,1,29
C00010,2024-05-01,3,1,29
C00011,2024-08-01,1,1,29
C00011,2024-09-01,2,1,29
C00011,2024-10-01,3,1,29
C00012,2024-02-01,1,1,79
C00012,2024-03-01,2,1,79
C00012,2024-04-01,3,1,79
C00012,2024-05-01,4,1,79
C00012,2024-06-01,5,1,79
C00012,2024-07-01,6,1,79
C00012,2024-08-01,7,1,79
C00013,2026-07-01,1,1,29
C00013,2026-08-01,2,1,29
C00014,2025-11-01,1,1,79
C00014,2025-12-01,2,1,79
C00014,2026-01-01,3,1,79
C00014,2026-02-01,4,1,79
